"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
"P215706","MO24","0","5","5",0
"P215706","MO24","1","1","1",0
"P215706","MO24","5","5","5",0
"P215706","MO24","10","41","15",26
"P215706","DP24","0","0","0",0
"P215706","DP24","1","0","0",0
"P215706","DP24","5","0","0",0
"P215706","DP24","10","0","0",0
"P215706","SM24","0","0","0",0
"P215706","SM24","1","0","0",0
"P215706","SM24","5","0","0",0
"P215706","SM24","10","0","0",0
"P215706","MORT","0","7","7",0
"P215706","MORT","1","2","2",0
"P215706","MORT","5","10","10",0
"P215706","MORT","10","41","18",23
"P215706","CRAN","0","4","4",0
"P215706","CRAN","1","1","1",0
"P215706","CRAN","5","1","1",0
"P215706","CRAN","10","2","2",0
"P215706","AXIS","0","3","3",0
"P215706","AXIS","1","0","0",0
"P215706","AXIS","5","1","1",0
"P215706","AXIS","10","1","1",0
"P215706","EDEM","0","3","3",0
"P215706","EDEM","1","0","0",0
"P215706","EDEM","5","1","1",0
"P215706","EDEM","10","2","2",0
"P215706","MUSC","0","1","1",0
"P215706","MUSC","1","0","0",0
"P215706","MUSC","5","0","0",0
"P215706","MUSC","10","1","1",0
"P215706","LTRK","0","3","3",0
"P215706","LTRK","1","0","0",0
"P215706","LTRK","5","0","0",0
"P215706","LTRK","10","1","1",0
"P215706","BRN_","0","0","0",0
"P215706","BRN_","1","0","0",0
"P215706","BRN_","5","0","0",0
"P215706","BRN_","10","0","0",0
"P215706","SKIN","0","0","0",0
"P215706","SKIN","1","0","0",0
"P215706","SKIN","5","0","0",0
"P215706","SKIN","10","0","0",0
"P215706","NC__","0","0","0",0
"P215706","NC__","1","0","0",0
"P215706","NC__","5","0","0",0
"P215706","NC__","10","1","1",0
"P215706","TCHR","0","1","1",0
"P215706","TCHR","1","0","0",0
"P215706","TCHR","5","0","0",0
"P215706","TCHR","10","0","0",0
"P215706","any.effect","0","11","11",0
"P215706","any.effect","1","3","3",0
"P215706","any.effect","5","12","12",0
"P215706","any.effect","10","43","23",20
